,Rank_Grupo,Produto,Grupo,Marca,Quantidade,Custo_Total,%_Valor_no_Grupo,Dias,Ult_Compra,Ult_Venda,Faixa_Obsolescencia,Score_Priorizacao,Classificacao_ABC,Acao_Sugerida
16,47,"ABRACADEIRA INOX 304 TC  50,80MM-2 PC (6766)",CONX - INOX - SANITARIO,IMPORTADO,13,"R$ 357,29",1.1%,600,10/07/2024,08/08/2024,Alto,3.1%,B (20% do valor),Campanha comercial agressiva
68,47,"ANEL DE VEDACAO TC VITON  76,20MM-3 - IMP PC (16066)",CONX - INOX - SANITARIO,IMPORTADO,2,"R$ 30,55",0.1%,736,20/06/2023,25/03/2024,Crítico,3.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
786,141,LUVA PRETA CL 150# 1/2 NPT PC (2948),CONX - FERRO MALEAVEL - TUPY,TUPY,36,"R$ 165,38",0.7%,652,15/08/2022,17/06/2024,Alto,3.1%,B (20% do valor),Campanha comercial agressiva
1140,66,REDUCAO INOX 304 CONC.SCH 10  3 X 1 PC (17430),CONX - INOX - SOLDA TOPO,NACIONAL,6,"R$ 404,01",0.9%,622,25/07/2024,17/07/2024,Alto,3.1%,B (20% do valor),Campanha comercial agressiva
196,52,BUJAO INOX 304/L 150# 2.1/2 BSP - I.D. PC (13153),CONX - INOX - ROSCAVEL,IMP.GIDEOLI,15,"R$ 406,55",1.6%,512,19/03/2024,04/11/2024,Obsoleto,3.1%,B (20% do valor),Promover com desconto controlado
498,26,ER ADAPTADOR TAMPAO EMT-DP/TAD ALUMINIO 1.1/2 PC (10512),ACESS - ENGATES - CAMLOK,GABITEC,2,"R$ 24,93",0.3%,692,13/12/2016,08/05/2024,Alto,3.1%,C (10% do valor),Campanha comercial agressiva
632,23,FLANGE INOX 304/L LISO RF ANSI B16.5 150LBS  6 - I.D.PS PC (12958),CONX - INOX - FLANGES,IMP.GIDEOLI,1,"R$ 318,36",0.5%,664,14/03/2022,05/06/2024,Alto,3.1%,C (10% do valor),Campanha comercial agressiva
269,142,COTOVELO 45 GALV.  1/2 - TUPY PC (3336),CONX - FERRO MALEAVEL - TUPY,TUPY,15,"R$ 82,60",0.3%,690,01/03/2022,10/05/2024,Alto,3.1%,B (20% do valor),Campanha comercial agressiva
1443,48,"UNIAO INOX SOLDA SMS 304  63,50MM-2.1/2 PC (8267)",CONX - INOX - SANITARIO,IMPORTADO,2,"R$ 404,36",1.2%,567,30/05/2023,10/09/2024,Alto,3.1%,B (20% do valor),Campanha comercial agressiva
491,27,ER ADAPTADOR ROSCA FEMEA EMI-A/ADI INOX 304 1 BSP PC (10887),ACESS - ENGATES - CAMLOK,IMPORTADO,3,"R$ 83,58",1.2%,571,27/08/2024,06/09/2024,Alto,3.1%,C (10% do valor),Campanha comercial agressiva
941,67,PESTANA INOX 316/L SCH10 CURTA  1/2 PC (8980),CONX - INOX - SOLDA TOPO,NACIONAL,20,"R$ 239,25",0.5%,664,05/06/2024,05/06/2024,Alto,3.1%,B (20% do valor),Campanha comercial agressiva
1337,12,TERM.ANGULAR CARB. 100MM 0-150C H/200MM R.1/2 LATAO NPT - GIDEOLI PC (610),INDI - MEDICAO - TEMPERATURA,FAMABRAS,1,"R$ 116,40",2.1%,435,26/05/2021,20/01/2025,Obsoleto,3.1%,C (10% do valor),Promover com desconto controlado
1321,26,TE RED.GALV. 3 X 2 IMP PC (3602),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,2,"R$ 219,24",1.9%,468,03/05/2022,18/12/2024,Obsoleto,3.1%,B (20% do valor),Promover com desconto controlado
824,20,MAN.RETO 100MM  28 KGF/CM2 X 400 PSI CX.CARB.R1/2 BSP LATAO PC (5743),INDI - MEDICAO - PRESSAO,WOLER,1,"R$ 130,67",2.1%,435,11/12/2024,20/01/2025,Obsoleto,3.1%,C (10% do valor),Promover com desconto controlado
1110,69,REDUCAO A/C EXC.SCH 40 S/C ASTM A234 WPB   3/4  X 1/2 PC (461),CONX - CARBONO - SOLDA TOPO,IMPORTADO,8,"R$ 31,69",0.1%,725,04/10/2023,05/04/2024,Crítico,3.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
1071,69,REDUCAO A/C CONC.SCH 40 S/C ASTM A234 WPB  2 X 3/4 PC (1846),CONX - CARBONO - SOLDA TOPO,IMPORTADO,6,"R$ 39,75",0.1%,722,10/03/2018,08/04/2024,Crítico,3.1%,C (10% do valor),Liquidação forte / devolução / sucatear / kit
586,54,FLANGE A/C SO RF ANSI B16.5 CL.300LBS ASTM A-105  6 - IMP PC (2551),CONX - CARBONO - FLANGES,GIDEOLI,4,"R$ 1.210,67",2.0%,439,04/10/2024,16/01/2025,Obsoleto,3.1%,A (70% do valor),Promover com desconto controlado
397,70,CURVA A/C 45 SCH 40 S/C ASTM A234 WPB  1.1/4 ID.PS PC (14481),CONX - CARBONO - SOLDA TOPO,IMP.GIDEOLI,82,"R$ 228,47",0.6%,650,15/12/2021,19/06/2024,Alto,3.0%,B (20% do valor),Campanha comercial agressiva
1114,71,REDUCAO A/C EXC.SCH 40 S/C ASTM A234 WPB  2 X 1.1/2 PC (1326),CONX - CARBONO - SOLDA TOPO,IMPORTADO,14,"R$ 125,36",0.3%,683,11/03/2024,17/05/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
1091,71,REDUCAO A/C CONC.SCH 40 S/C ASTM A234 WPB 12 X 8 PC (56),CONX - CARBONO - SOLDA TOPO,IMPORTADO,1,"R$ 307,68",0.8%,617,28/08/2023,22/07/2024,Alto,3.0%,B (20% do valor),Campanha comercial agressiva
9,13,ABRAC. TIPO U VERGALHAO 1 X 5/16 GE PC (1941),FIXA - ACESS - ABRACADEIRAS,SUPERA,1,"R$ 3,72",0.2%,694,10/02/2023,06/05/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
600,55,FLANGE A/C WN RF DIN PN16  8 I.D. PC (13455),CONX - CARBONO - FLANGES,IMP.GIDEOLI,8,"R$ 969,18",1.6%,487,04/05/2020,29/11/2024,Obsoleto,3.0%,B (20% do valor),Promover com desconto controlado
640,24,FLANGE INOX 316/L LISO RF ANSI B16.5 150LBS  3/4 PC (6836),CONX - INOX - FLANGES,GIDEOLI,2,"R$ 191,35",0.3%,678,17/08/2021,22/05/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
1497,23,VALV.ESF.TRIP.CF8M S1000  1/2  SI PP TR SW - MGA PC (14397),VALV - ESFERA - CF8,MGA,2,"R$ 125,35",0.4%,663,14/07/2021,06/06/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
554,56,FLANGE A/C LAP-JOINT (SOLTO) ANSI B16.5 CL.150LBS ASTM A-105  2.1/2 - IMP PC (10793),CONX - CARBONO - FLANGES,GIDEOLI,19,"R$ 1.044,64",1.8%,468,14/05/2024,18/12/2024,Obsoleto,3.0%,A (70% do valor),Promover com desconto controlado
727,9,JUNTA EXP.BORR.EPDM FLG ANSI 150# WCB  2 Imp. PC (7301),ACESS - JUNTAS - EXPANSAO,MIPEL,1,"R$ 110,60",1.4%,519,25/09/2018,28/10/2024,Obsoleto,3.0%,C (10% do valor),Promover com desconto controlado
1133,68,REDUCAO INOX 304 CONC.SCH 10  1.1/2 X 1.1/4 PC (15558),CONX - INOX - SOLDA TOPO,DIV.,10,"R$ 293,30",0.6%,628,04/11/2024,11/07/2024,Alto,3.0%,B (20% do valor),Campanha comercial agressiva
470,28,ER ACOPLADOR COM ESPIGAO EFS-C/ACM INOX 304 1/2 PC (14660),ACESS - ENGATES - CAMLOK,IMPORTADO,3,"R$ 126,04",1.8%,467,16/11/2021,19/12/2024,Obsoleto,3.0%,C (10% do valor),Promover com desconto controlado
488,28,ER ADAPTADOR COM ESPIGAO EMS-E/ADM INOX 316 1/2 PC (14662),ACESS - ENGATES - CAMLOK,IMPORTADO,4,"R$ 126,51",1.8%,467,16/11/2021,19/12/2024,Obsoleto,3.0%,C (10% do valor),Promover com desconto controlado
1219,48,TE A/C A105 2000L NPT  3/4 PC (2834),CONX - CARBONO - ALTA PRESSAO,IMPORTADO,4,"R$ 60,12",0.3%,677,23/11/2016,23/05/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
85,18,AR-CRUZETA 10MM PC (10585),PNHD - PNEUMATICA - CONEXOES,E-MC,8,"R$ 26,21",0.9%,595,26/09/2016,13/08/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
1616,34,VALV.SOLEN.DIREC. 3/2 VIAS BOTAO RET.MOLA 1/8 TG2311H-06-S PC (2634),VALV - CONTROLE - SOLENOIDE,STNC,1,"R$ 80,82",0.3%,680,27/01/2023,20/05/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
1330,143,TE RED.PRETO 300# 3/4 X 1/2 PC (4003),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 9,24",0.0%,711,22/09/2016,19/04/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
1162,69,REDUCAO INOX 316L CONC.SCH 10 1.1/2 X 3/4 PC (7442),CONX - INOX - SOLDA TOPO,IMPORTADO,4,"R$ 42,06",0.1%,704,15/10/2016,26/04/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
671,10,INC-BOTOEIRA BOMBA (LIGA/DESLIGA) PC (1901),INCN - ELETRICA - ALARME,SEGURIMAX,1,"R$ 27,24",0.4%,656,12/04/2019,13/06/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
802,27,LUVA RED.GALV. MACHO FEMEA 3/4 X 3/8 - IMP PC (10803),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,25,"R$ 79,42",0.7%,615,15/03/2018,24/07/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
739,12,JUNTA VEDACAO FLANGE MET.ESPIRAL INOX/GRAFITE 300/600# 2 - ST PC (8740),INDI - VEDACAO - JUNTAS,LGT,1,"R$ 15,80",0.5%,648,25/10/2018,21/06/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
328,53,COTOVELO INOX 304 90GR 150LBS ROSCA BSP 1.1/4 PC (11015),CONX - INOX - ROSCAVEL,IMPORTADO,8,"R$ 183,46",0.7%,606,20/02/2018,02/08/2024,Alto,3.0%,B (20% do valor),Campanha comercial agressiva
1131,49,REDUCAO INOX 304 CONC.OD 6 X 4 PIPE - I.D.PS PC (14826),CONX - INOX - SANITARIO,IMP.GIDEOLI,2,"R$ 227,93",0.7%,614,14/03/2022,25/07/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
93,35,AR-MANIFOLD PARA VALVULAS TG 5/2 VIAS DE 1/4 (G200-8T-B) PC (15460),VALV - CONTROLE - SOLENOIDE,STNC,3,"R$ 475,25",1.6%,477,26/07/2023,09/12/2024,Obsoleto,3.0%,B (20% do valor),Promover com desconto controlado
1279,70,TE INOX 304/L SCH 10 RED. 2 X 1 PC (15838),CONX - INOX - SOLDA TOPO,DIV.,1,"R$ 84,25",0.2%,683,18/04/2023,17/05/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
439,70,CURVA INOX 304/L 90GR SOLDA A403 SCH40 1.1/4 - IMP PC (3384),CONX - INOX - SOLDA TOPO,IMPORTADO,1,"R$ 14,70",0.0%,706,28/07/2018,24/04/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
1158,70,REDUCAO INOX 304 EXC.SCH 10 2 X 3/4 PC (17291),CONX - INOX - SOLDA TOPO,IMPORTADO,4,"R$ 211,14",0.5%,644,11/09/2024,25/06/2024,Alto,3.0%,B (20% do valor),Campanha comercial agressiva
942,70,PESTANA INOX 316/L SCH10 CURTA  2 PC (11060),CONX - INOX - SOLDA TOPO,NACIONAL,6,"R$ 197,08",0.4%,648,01/10/2024,21/06/2024,Alto,3.0%,B (20% do valor),Campanha comercial agressiva
938,71,PESTANA INOX 316/L SCH10 CURTA   3/4 PC (15187),CONX - INOX - SOLDA TOPO,NACIONAL,10,"R$ 134,25",0.3%,664,25/07/2024,05/06/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
1248,144,TE GALV. 2 - TUPY PC (809),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 25,80",0.1%,691,04/06/2019,09/05/2024,Alto,3.0%,C (10% do valor),Campanha comercial agressiva
815,54,LUVA REDUCAO INOX 304 150# 4 X 2.1/2 BSP - I.D. PC (16706),CONX - INOX - ROSCAVEL,IMP.GIDEOLI,4,"R$ 340,37",1.4%,512,19/03/2024,04/11/2024,Obsoleto,3.0%,B (20% do valor),Promover com desconto controlado
1282,72,TE INOX 316/L RED.SCH 10 1 X 1/2 PC (16960),CONX - INOX - SOLDA TOPO,NACIONAL,3,"R$ 128,10",0.3%,664,25/07/2024,05/06/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
1093,72,REDUCAO A/C CONC.SCH 80 S/C ASTM A234 WPB   3/4 X 1/2 PC (16173),CONX - CARBONO - SOLDA TOPO,IMPORTADO,1,"R$ 8,44",0.0%,701,28/08/2023,29/04/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
630,25,FLANGE INOX 304/L LISO RF ANSI B16.5 150LBS  2.1/2 - I.D PC (12954),CONX - INOX - FLANGES,IMP.GIDEOLI,1,"R$ 92,17",0.1%,683,01/11/2022,17/05/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
1420,49,UNIAO A/C A105 3000L A/I SW 1 PC (1739),CONX - CARBONO - ALTA PRESSAO,IMPORTADO,6,"R$ 201,81",1.0%,565,20/08/2024,12/09/2024,Alto,2.9%,B (20% do valor),Campanha comercial agressiva
1379,7,"TUBO INOX 304 C/C SCH 40   3/4 (26,67 X 2,87 X 6000MM) - IMP MT (17144)",TUBO - INOX - SCHEDULE,IMPORTADO,18,"R$ 728,85",2.0%,421,21/10/2024,03/02/2025,Obsoleto,2.9%,C (10% do valor),Promover com desconto controlado
1278,73,TE INOX 304/L SCH 10 RED. 1.1/2 X 3/4 PC (15836),CONX - INOX - SOLDA TOPO,DIV.,2,"R$ 122,07",0.3%,664,05/06/2024,05/06/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
1025,48,PPR BOCAL MACHO E FEMEA  90MM(CONJ) IMPORTADO PC (10120),TUBO - PVC - PPR,TOP FUSION,1,"R$ 72,45",0.2%,664,25/09/2024,05/06/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
170,55,BUCHA RED.INOX 304 150# 1.1/2 X 1/2 BSP PC (8607),CONX - INOX - ROSCAVEL,IMPORTADO,2,"R$ 62,92",0.2%,663,25/10/2023,06/06/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
1113,73,REDUCAO A/C EXC.SCH 40 S/C ASTM A234 WPB  2 X 1 - IMP. PC (605),CONX - CARBONO - SOLDA TOPO,IMPORTADO,12,"R$ 141,47",0.3%,648,06/02/2024,21/06/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
353,22,CPVC IND FLANGE FEMEA SCH80  3/4 IMP PC (16019),CONX - PVC - INDUSTRIAL,CEPEX,6,"R$ 144,56",1.4%,491,16/12/2024,25/11/2024,Obsoleto,2.9%,C (10% do valor),Promover com desconto controlado
55,25,ANEL DE BORRACHA PBA 100/110MM PC (288),CONX - PVC - ACESSORIOS,JCM,13,"R$ 25,29",0.6%,601,28/05/2020,07/08/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
450,74,CURVA INOX 316/L 90GR SOLDA A403 SCH10 4 PC (15151),CONX - INOX - SOLDA TOPO,NACIONAL,3,"R$ 712,24",1.6%,470,22/05/2024,16/12/2024,Obsoleto,2.9%,A (70% do valor),Promover com desconto controlado
194,56,BUJAO INOX 304/L 150# 1.1/4 BSP PC (14702),CONX - INOX - ROSCAVEL,IMPORTADO,4,"R$ 86,13",0.3%,641,09/02/2022,28/06/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
974,4,PONTEIRA PVC INTERNA 1.1/2 RETA PRETA PC (10706),DIVERSOS - PRODUTOS - REVENDA,,4,"R$ 0,58",0.0%,684,27/04/2019,16/05/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
22,50,"ABRACADEIRA INOX 304 TC SUPORTE C/LUVA  38,10MM-1.1/2 PC (17734)",CONX - INOX - SANITARIO,IMPORTADO,19,"R$ 633,96",1.9%,419,18/10/2024,05/02/2025,Obsoleto,2.9%,B (20% do valor),Promover com desconto controlado
1262,50,TE INOX 304/L OD SOLDA RED. 1.1/2'' X 1 PIPE - I.D. PC (13092),CONX - INOX - SANITARIO,IMP.GIDEOLI,22,"R$ 283,64",0.8%,567,16/01/2020,10/09/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
1221,50,TE A/C A105 2000L NPT 1.1/2 PC (2836),CONX - CARBONO - ALTA PRESSAO,IMPORTADO,2,"R$ 88,72",0.4%,623,23/11/2016,16/07/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
1159,75,REDUCAO INOX 304 EXC.SCH 10 3 X 1.1/2 PC (5117),CONX - INOX - SOLDA TOPO,IMPORTADO,2,"R$ 126,58",0.3%,644,21/06/2024,25/06/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
1002,49,PPR AZUL JOELHO 45  63 MM PC (14603),TUBO - PVC - PPR,TOP FUSION,10,"R$ 153,53",0.5%,606,20/02/2024,02/08/2024,Alto,2.9%,C (10% do valor),Campanha comercial agressiva
129,11,"BARRA CHATA ACO  1 X 1/4 - 6,92kg/br KG (11461)",FERR - CARBONO - BARRAS,CIPALAM,41,"R$ 129,56",1.9%,404,05/10/2017,20/02/2025,Obsoleto,2.8%,C (10% do valor),Promover com desconto controlado
842,57,MEIA LUVA INOX 304 ROSCA 3000# 1 NPT PC (16566),CONX - INOX - ROSCAVEL,IMPORTADO,2,"R$ 104,65",0.4%,621,23/10/2023,18/07/2024,Alto,2.8%,C (10% do valor),Campanha comercial agressiva
415,74,CURVA A/C 90 SCH160 S/C RL ASTM A234 WPB 2.1/2 PC (4663),CONX - CARBONO - SOLDA TOPO,IMPORTADO,3,"R$ 234,48",0.6%,596,19/03/2024,12/08/2024,Alto,2.8%,B (20% do valor),Campanha comercial agressiva
947,76,PESTANA INOX 316/L SCH10 LONGA MSSP-SP  2.1/2 NAC PC (17132),CONX - INOX - SOLDA TOPO,NACIONAL,5,"R$ 411,36",0.9%,550,22/05/2024,27/09/2024,Alto,2.8%,B (20% do valor),Campanha comercial agressiva
1411,51,UNIAO A/C A105 3000L A/I NPT  1/2 ID.PS PC (14689),CONX - CARBONO - ALTA PRESSAO,IMP.GIDEOLI,13,"R$ 235,14",1.1%,518,14/03/2022,29/10/2024,Obsoleto,2.8%,B (20% do valor),Promover com desconto controlado
100,3,ARRUELA LISA ZINCADA 3/8 PC (10856),FIXA - PARAFUSOS - ARRUELA,BELENUS,2,"R$ 0,30",1.0%,533,02/09/2020,14/10/2024,Obsoleto,2.8%,C (10% do valor),Promover com desconto controlado
492,29,ER ADAPTADOR ROSCA FEMEA EMI-A/ADI INOX 304 3/4 BSP PC (17545),ACESS - ENGATES - CAMLOK,IMPORTADO,8,"R$ 134,06",1.9%,410,07/03/2025,14/02/2025,Obsoleto,2.8%,B (20% do valor),Promover com desconto controlado
490,29,ER ADAPTADOR ROSCA FEMEA EMI-A/ADI ALUMINIO 1 BSP IMP PC (17801),ACESS - ENGATES - CAMLOK,IMPORTADO,10,"R$ 105,42",1.5%,469,13/02/2025,17/12/2024,Obsoleto,2.8%,C (10% do valor),Promover com desconto controlado
1106,75,REDUCAO A/C CONC.SCH 80 S/C ASTM A234 WPB  4 X 3 PC (12176),CONX - CARBONO - SOLDA TOPO,IMPORTADO,1,"R$ 85,50",0.2%,648,29/08/2022,21/06/2024,Alto,2.8%,C (10% do valor),Campanha comercial agressiva
307,145,COTOVELO 90R PRETO 1 X 3/4 BSP - TUPY PC (881),CONX - FERRO MALEAVEL - TUPY,TUPY,10,"R$ 20,24",0.1%,665,22/09/2016,04/06/2024,Alto,2.8%,C (10% do valor),Campanha comercial agressiva
192,145,BUJAO GALV. 2 - TUPY PC (2606),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 7,78",0.0%,671,26/10/2016,29/05/2024,Alto,2.8%,C (10% do valor),Campanha comercial agressiva
887,23,PARAF SEXT A/C ENEGR G5 UNC RI 5/8 X 2 PC (10131),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,9,"R$ 23,73",1.3%,494,27/09/2024,22/11/2024,Obsoleto,2.8%,C (10% do valor),Promover com desconto controlado
1127,51,REDUCAO INOX 304 CONC.OD 1 X 3/4 PIPE - I.D. PC (13067),CONX - INOX - SANITARIO,IMP.GIDEOLI,40,"R$ 321,95",0.9%,538,19/03/2024,09/10/2024,Obsoleto,2.8%,B (20% do valor),Promover com desconto controlado
273,146,COTOVELO 45 GALV. 4 - TUPY PC (2293),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 83,57",0.3%,624,04/07/2019,15/07/2024,Alto,2.8%,B (20% do valor),Campanha comercial agressiva
904,24,PARAF SEXT ZINC UNC 5/8 X 4.1/2 RI PC (2074),FIXA - PARAFUSOS - SEXTAVADO,BELENUS,2,"R$ 6,38",0.3%,623,10/03/2023,16/07/2024,Alto,2.8%,C (10% do valor),Campanha comercial agressiva
971,58,PONTA ROSCA INOX 304 150# LR BSP 1.1/4 - IMP PC (11636),CONX - INOX - ROSCAVEL,IMPORTADO,6,"R$ 111,92",0.4%,606,04/10/2022,02/08/2024,Alto,2.8%,C (10% do valor),Campanha comercial agressiva
1137,77,REDUCAO INOX 304 CONC.SCH 10  2 X 1/2 - IMP PC (17265),CONX - INOX - SOLDA TOPO,IMPORTADO,2,"R$ 116,39",0.2%,634,20/05/2024,05/07/2024,Alto,2.8%,C (10% do valor),Campanha comercial agressiva
284,28,COTOVELO 90 GALV.MACHO/FEMEA 2.1/2 - IMP PC (7603),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,3,"R$ 158,81",1.4%,475,31/08/2023,11/12/2024,Obsoleto,2.8%,B (20% do valor),Promover com desconto controlado
972,58,PONTA ROSCA INOX 304 150# LR BSP SCH40  3/4 - I.D.PS PC (14954),CONX - INOX - ROSCAVEL,IMP.GIDEOLI,1,"R$ 8,55",0.0%,663,14/03/2022,06/06/2024,Alto,2.8%,C (10% do valor),Campanha comercial agressiva
999,50,PPR AZUL DERIVACAO DE RAMAL 63 X 32MM PC (14520),TUBO - PVC - PPR,TOP FUSION,10,"R$ 56,97",0.2%,637,20/02/2024,02/07/2024,Alto,2.8%,C (10% do valor),Campanha comercial agressiva
43,26,ANEL DE BORRACHA DEFOFO 200MM PC (3445),CONX - PVC - ACESSORIOS,JCM,6,"R$ 35,67",0.9%,539,06/07/2017,08/10/2024,Obsoleto,2.8%,C (10% do valor),Promover com desconto controlado
164,147,BUCHA RED.GALV. 3 X 1.1/2 - TUPY PC (2132),CONX - FERRO MALEAVEL - TUPY,TUPY,1,"R$ 25,09",0.1%,648,14/11/2019,21/06/2024,Alto,2.8%,C (10% do valor),Campanha comercial agressiva
448,78,CURVA INOX 316/L 90GR SOLDA A403 SCH10 3 PC (7610),CONX - INOX - SOLDA TOPO,NACIONAL,3,"R$ 403,29",0.9%,538,04/11/2024,09/10/2024,Obsoleto,2.8%,B (20% do valor),Promover com desconto controlado
617,57,FLANGE GALV.LAP-JOINT (SOLTO) ANSI B16.5 CL.150LBS A-105 6 - I.D. PC (12812),CONX - CARBONO - FLANGES,IMP.GIDEOLI,2,"R$ 164,04",0.3%,620,30/07/2024,19/07/2024,Alto,2.8%,C (10% do valor),Campanha comercial agressiva
73,19,AR-CONEXAO RETA FEMEA 06MM X 3/8 PC (17254),PNHD - PNEUMATICA - CONEXOES,E-MC,9,"R$ 59,07",1.9%,383,28/05/2024,13/03/2025,Obsoleto,2.8%,C (10% do valor),Promover com desconto controlado
1487,24,VALV.ESF.TRIP.CF8 S1000 1 TI PP TR NPT - MGA PC (15708),VALV - ESFERA - CF8,MGA,3,"R$ 574,60",1.8%,398,20/12/2023,26/02/2025,Obsoleto,2.8%,C (10% do valor),Promover com desconto controlado
763,52,LUVA A/C A105 3000L NPT 1.1/4 PC (2912),CONX - CARBONO - ALTA PRESSAO,IMPORTADO,4,"R$ 63,30",0.3%,616,26/12/2017,23/07/2024,Alto,2.8%,C (10% do valor),Campanha comercial agressiva
168,59,BUCHA RED.INOX 304 150#  3/4 X 3/8 BSP PC (6470),CONX - INOX - ROSCAVEL,IMPORTADO,1,"R$ 5,31",0.0%,655,19/02/2018,14/06/2024,Alto,2.7%,C (10% do valor),Campanha comercial agressiva
384,148,CURVA 90 GALV. FEMEA CL 300# 3/4 NPT PC (7601),CONX - FERRO MALEAVEL - TUPY,TUPY,10,"R$ 211,20",0.9%,526,22/09/2016,21/10/2024,Obsoleto,2.7%,A (70% do valor),Promover com desconto controlado
1316,29,TE RED.GALV. 1.1/4 X 3/4 - IMP PC (12269),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,7,"R$ 105,78",0.9%,524,28/01/2025,23/10/2024,Obsoleto,2.7%,C (10% do valor),Promover com desconto controlado
300,29,COTOVELO 90R GALV. 1.1/2 X 1.1/4 - IMP PC (15192),CONX - FERRO MALEAVEL - IMPORTADAS,MECH,4,"R$ 61,06",0.5%,579,14/12/2023,29/08/2024,Alto,2.7%,C (10% do valor),Campanha comercial agressiva
103,20,AR-TEE CENTRAL 06MM X 1/8 BSP PC (10577),PNHD - PNEUMATICA - CONEXOES,E-MC,9,"R$ 40,62",1.3%,460,01/09/2022,26/12/2024,Obsoleto,2.7%,C (10% do valor),Promover com desconto controlado
62,52,"ANEL DE VEDACAO SMS EPDM  76,20MM-3 PC (17298)",CONX - INOX - SANITARIO,NACIONAL,14,"R$ 51,28",0.1%,627,31/05/2024,12/07/2024,Alto,2.7%,C (10% do valor),Campanha comercial agressiva
858,60,NIPLE DUPLO INOX 304 150# 1.1/4 BSP PC (8613),CONX - INOX - ROSCAVEL,IMPORTADO,7,"R$ 175,40",0.7%,545,26/08/2022,02/10/2024,Alto,2.7%,C (10% do valor),Campanha comercial agressiva
882,25,"PARAF CAB FLANG AUTO BROCANTE 4,2 X 13 VD IMP PC (9143)",FIXA - PARAFUSOS - SEXTAVADO,BELENUS,10,"R$ 0,35",0.0%,642,22/05/2024,27/06/2024,Alto,2.7%,C (10% do valor),Campanha comercial agressiva
579,58,FLANGE A/C SO RF ANSI B16.5 CL.150LBS ASTM A-105  2.1/2 - ID.PS PC (10031),CONX - CARBONO - FLANGES,IMP.GIDEOLI,1,"R$ 57,90",0.1%,630,15/12/2021,09/07/2024,Alto,2.7%,C (10% do valor),Campanha comercial agressiva
594,59,FLANGE A/C WN RF ANSI B16.5 CL.300LBS ASTM A-105 6 - IMP PC (10493),CONX - CARBONO - FLANGES,IMPORTADO,2,"R$ 832,89",1.4%,439,05/03/2024,16/01/2025,Obsoleto,2.7%,B (20% do valor),Promover com desconto controlado
1064,76,REDUCAO A/C CONC.SCH 40 S/C ASTM A234 WPB  1.1/2 X 1/2 PC (2278),CONX - CARBONO - SOLDA TOPO,IMPORTADO,2,"R$ 6,77",0.0%,638,22/09/2016,01/07/2024,Alto,2.7%,C (10% do valor),Campanha comercial agressiva
1245,77,TE A/C S/C SCH 80 A234 WPB 3 I.D PC (16236),CONX - CARBONO - SOLDA TOPO,IMP.GIDEOLI,14,"R$ 757,03",1.9%,371,18/12/2024,25/03/2025,Obsoleto,2.7%,A (70% do valor),Promover com desconto controlado
